code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
78591;78790;SEPTEUIL;48.8925743,1.682035;FF de taekwondo et disciplines associées;24;20;4;;7;6;1;;0;2201;1155;277;550;328;561;1094;546
78591;78790;SEPTEUIL;48.8925743,1.682035;FF d'aéronautique;1;;1;;;;;;0;2201;1155;277;550;328;561;1094;546
78591;78790;SEPTEUIL;48.8925743,1.682035;FF de boxe française, savate et disciplines associées;1;;1;;;;;;0;2201;1155;277;550;328;561;1094;546
78591;78790;SEPTEUIL;48.8925743,1.682035;FF de la montagne et de l'escalade;10;8;2;;;;;;0;2201;1155;277;550;328;561;1094;546
78591;78790;SEPTEUIL;48.8925743,1.682035;FF d'éducation physique et de gymnastique volontaire;8;;7;1;8;;7;1;0;2201;1155;277;550;328;561;1094;546
78618;78790;TILLY;48.8821899,1.5766349;FF de tennis de table;4;;4;;1;;1;;0;542;277;75;157;45;141;316;85
78311;78800;HOUILLES;48.926,2.18709;FF de basketball;276;193;81;2;74;54;20;;0;31557;16452;3977;9447;3029;8166;18124;5268
78311;78800;HOUILLES;48.926,2.18709;FF de tir;50;1;35;14;2;;1;1;0;31557;16452;3977;9447;3029;8166;18124;5268
78311;78800;HOUILLES;48.926,2.18709;FF de ski nautique;3;;3;;1;;1;;0;31557;16452;3977;9447;3029;8166;18124;5268
78311;78800;HOUILLES;48.926,2.18709;FF de vol libre;58;6;53;;12;;12;;0;31557;16452;3977;9447;3029;8166;18124;5268
78311;78800;HOUILLES;48.926,2.18709;FF d'éducation physique et de gymnastique volontaire;71;1;49;21;63;1;45;17;0;31557;16452;3977;9447;3029;8166;18124;5268
78311;78800;HOUILLES;48.926,2.18709;FF du sport adapté;3;;3;;;;;;0;31557;16452;3977;9447;3029;8166;18124;5268
78196;78810;DAVRON;48.8651611,1.9466425;FF de natation;1;1;;;;;;;0;340;170;42;94;34;98;181;62
78196;78810;DAVRON;48.8651611,1.9466425;FF pour l'entrainement physique dans le monde moderne - Sports pour tous (FFEPMM);1;;1;;1;;1;;0;340;170;42;94;34;98;181;62
78233;78810;FEUCHEROLLES;48.8726163,1.9723673;FF d'escrime;3;2;1;;;;;;0;2908;1456;423;738;294;875;1448;584
78233;78810;FEUCHEROLLES;48.8726163,1.9723673;FF de gymnastique;2;2;;;1;1;;;0;2908;1456;423;738;294;875;1448;584
78233;78810;FEUCHEROLLES;48.8726163,1.9723673;FF de tennis;443;248;174;21;172;80;85;7;0;2908;1456;423;738;294;875;1448;584
78233;78810;FEUCHEROLLES;48.8726163,1.9723673;FF de triathlon;7;6;1;;;;;;0;2908;1456;423;738;294;875;1448;584
78233;78810;FEUCHEROLLES;48.8726163,1.9723673;FF de rugby;8;6;1;1;1;;;1;0;2908;1456;423;738;294;875;1448;584
78233;78810;FEUCHEROLLES;48.8726163,1.9723673;FF des sports de billard;1;;;1;;;;;0;2908;1456;423;738;294;875;1448;584
78233;78810;FEUCHEROLLES;48.8726163,1.9723673;FF des clubs alpins et de montagne;1;;1;;;;;;0;2908;1456;423;738;294;875;1448;584
78327;78820;JUZIERS;48.9913563,1.8452483;FF de canoë-kayak;1;;1;;;;;;0;3773;1877;499;1041;337;1015;2118;640
78327;78820;JUZIERS;48.9913563,1.8452483;FF d'altérophilie, musculation, force athlétique et culturisme;2;;2;;;;;;0;3773;1877;499;1041;337;1015;2118;640
78327;78820;JUZIERS;48.9913563,1.8452483;FF de tir;15;;12;3;1;;1;;0;3773;1877;499;1041;337;1015;2118;640
78327;78820;JUZIERS;48.9913563,1.8452483;FF des sports de billard;2;;2;;;;;;0;3773;1877;499;1041;337;1015;2118;640
78327;78820;JUZIERS;48.9913563,1.8452483;FF de boxe française, savate et disciplines associées;1;;1;;1;;1;;0;3773;1877;499;1041;337;1015;2118;640
78327;78820;JUZIERS;48.9913563,1.8452483;FF de motocyclisme;7;1;6;;;;;;0;3773;1877;499;1041;337;1015;2118;640
78087;78830;BONNELLES;48.6182,2.02973;FF de natation;19;2;17;;13;;13;;0;1913;981;256;567;158;505;1109;299
78087;78830;BONNELLES;48.6182,2.02973;FF de bowling et de sports de quilles;2;1;1;;1;1;;;0;1913;981;256;567;158;505;1109;299
78087;78830;BONNELLES;48.6182,2.02973;FF de karaté et disciplines associées;20;12;7;1;8;5;3;;0;1913;981;256;567;158;505;1109;299
78120;78830;BULLION;48.6221663,1.9945126;FF de tennis de table;4;2;2;;1;;1;;0;1951;967;258;526;183;586;1008;357
78120;78830;BULLION;48.6221663,1.9945126;FF de triathlon;1;;1;;;;;;0;1951;967;258;526;183;586;1008;357
78120;78830;BULLION;48.6221663,1.9945126;FF de karaté et disciplines associées;18;16;2;;4;4;;;0;1951;967;258;526;183;586;1008;357
78255;78840;FRENEUSE;49.0485006,1.6018961;FF de taekwondo et disciplines associées;3;3;;;;;;;0;3930;2034;583;1047;403;1174;2020;735
78255;78840;FRENEUSE;49.0485006,1.6018961;FF de pêche sportive au coup;3;;3;;1;;1;;0;3930;2034;583;1047;403;1174;2020;735
78255;78840;FRENEUSE;49.0485006,1.6018961;FF handisport;1;;1;;;;;;0;3930;2034;583;1047;403;1174;2020;735
78410;78840;MOISSON;49.0737614,1.6685753;FF de canoë-kayak;3;1;2;;;;;;0;924;466;135;241;91;251;493;180
78615;78850;THIVERVAL GRIGNON;48.8489586,1.9173719;FF de judo-jujitsu et disciplines associées;3;3;;;1;1;;;0;1006;544;123;340;82;239;638;130
78615;78850;THIVERVAL GRIGNON;48.8489586,1.9173719;FF de tir;2;;2;;;;;;0;1006;544;123;340;82;239;638;130
78615;78850;THIVERVAL GRIGNON;48.8489586,1.9173719;FF de rugby;3;1;2;;2;;2;;0;1006;544;123;340;82;239;638;130
78615;78850;THIVERVAL GRIGNON;48.8489586,1.9173719;FF de pelote basque;1;;1;;;;;;0;1006;544;123;340;82;239;638;130
78615;78850;THIVERVAL GRIGNON;48.8489586,1.9173719;FF d'éducation physique et de gymnastique volontaire;4;;4;;4;;4;;0;1006;544;123;340;82;239;638;130
78615;78850;THIVERVAL GRIGNON;48.8489586,1.9173719;FF du sport universitaire;117;;117;;71;;71;;0;1006;544;123;340;82;239;638;130
78571;78860;ST NOM LA BRETECHE;48.8641009,2.0205241;FF de judo-jujitsu et disciplines associées;104;95;8;1;26;22;4;;0;5147;2594;793;1243;558;1598;2435;1113
78571;78860;ST NOM LA BRETECHE;48.8641009,2.0205241;F sportive et culturelle de France;7;6;1;;4;3;1;;0;5147;2594;793;1243;558;1598;2435;1113
78571;78860;ST NOM LA BRETECHE;48.8641009,2.0205241;Union nationale sportive Léo Lagrange;1;1;;;1;1;;;0;5147;2594;793;1243;558;1598;2435;1113
78043;78870;BAILLY;48.838001,2.0802293;FF des clubs alpins et de montagne;4;;3;1;;;;;0;3914;2005;577;1023;406;1166;1967;781
78043;78870;BAILLY;48.838001,2.0802293;FF d'éducation physique et de gymnastique volontaire;170;3;96;71;164;3;95;66;0;3914;2005;577;1023;406;1166;1967;781
78043;78870;BAILLY;48.838001,2.0802293;FF du sport universitaire;2;;2;;;;;;0;3914;2005;577;1023;406;1166;1967;781
78265;78890;GARANCIERES;48.8224477,1.7550631;FF d'aéromodélisme;4;1;3;;;;;;0;2382;1164;293;656;214;626;1329;426
78265;78890;GARANCIERES;48.8224477,1.7550631;FF d'éducation physique et de gymnastique volontaire;47;1;25;21;44;1;22;21;0;2382;1164;293;656;214;626;1329;426
78053;78910;BEHOUST;48.8311244,1.7226949;FF de rugby;1;;1;;;;;;0;476;239;66;118;55;127;246;103
78053;78910;BEHOUST;48.8311244,1.7226949;FF de vol libre;6;;6;;3;;3;;0;476;239;66;118;55;127;246;103
78076;78910;BOISSETS;48.8618662,1.5853896;FF de badminton;1;;1;;;;;;0;272;140;40;69;30;73;149;50
78163;78910;CIVRY LA FORET;48.8668237,1.6169513;FF d'escrime;1;1;;;;;;;0;357;168;46;90;31;108;190;58
78465;78910;ORGERUS;48.8359981,1.6966434;FF du sport travailliste;4;;1;3;1;;;1;0;2358;1207;307;640;261;595;1274;490
78465;78910;ORGERUS;48.8359981,1.6966434;Union nationale du sport scolaire (UNSS);282;282;;;90;90;;;0;2358;1207;307;640;261;595;1274;490
78474;78910;ORVILLIERS;48.8589299,1.6415229;FF de football;18;13;5;;;;;;0;683;333;94;177;62;206;369;108
78474;78910;ORVILLIERS;48.8589299,1.6415229;FF de tir à l'arc;2;;2;;;;;;0;683;333;94;177;62;206;369;108
78475;78910;OSMOY;48.8631085,1.7172256;FF d'athlétisme;5;4;;1;2;2;;;0;382;189;53;105;30;110;211;60
78475;78910;OSMOY;48.8631085,1.7172256;FF de badminton;2;;2;;1;;1;;0;382;189;53;105;30;110;211;60
78475;78910;OSMOY;48.8631085,1.7172256;FF de judo-jujitsu et disciplines associées;9;6;3;;3;1;2;;0;382;189;53;105;30;110;211;60
78475;78910;OSMOY;48.8631085,1.7172256;FF de motocyclisme;2;1;1;;;;;;0;382;189;53;105;30;110;211;60
78475;78910;OSMOY;48.8631085,1.7172256;FF du sport travailliste;1;;1;;;;;;0;382;189;53;105;30;110;211;60
78505;78910;PRUNAY LE TEMPLE;48.8614145,1.6715637;FF de gymnastique;2;2;;;2;2;;;0;394;209;61;116;32;123;217;54
78505;78910;PRUNAY LE TEMPLE;48.8614145,1.6715637;FF de judo-jujitsu et disciplines associées;12;8;4;;5;4;1;;0;394;209;61;116;32;123;217;54
78505;78910;PRUNAY LE TEMPLE;48.8614145,1.6715637;FF de taekwondo et disciplines associées;3;3;;;3;3;;;0;394;209;61;116;32;123;217;54
78505;78910;PRUNAY LE TEMPLE;48.8614145,1.6715637;FF d'éducation physique et de gymnastique volontaire;4;;1;3;4;;1;3;0;394;209;61;116;32;123;217;54
78605;78910;TACOIGNIERES;48.8350942,1.6737953;FF d'athlétisme;21;11;9;1;8;5;3;;0;1049;513;148;273;92;311;551;188
78605;78910;TACOIGNIERES;48.8350942,1.6737953;FF de basketball;2;2;;;;;;;0;1049;513;148;273;92;311;551;188
78605;78910;TACOIGNIERES;48.8350942,1.6737953;FF d'aéronautique;2;;;2;;;;;0;1049;513;148;273;92;311;551;188
78605;78910;TACOIGNIERES;48.8350942,1.6737953;FF de motocyclisme;4;1;3;;;;;;0;1049;513;148;273;92;311;551;188
78605;78910;TACOIGNIERES;48.8350942,1.6737953;FF du sport travailliste;3;;3;;1;;1;;0;1049;513;148;273;92;311;551;188
78206;78920;ECQUEVILLY;48.9510622,1.9226814;FF de natation;16;10;6;;6;2;4;;0;3931;1947;518;1105;325;1087;2184;661
78206;78920;ECQUEVILLY;48.9510622,1.9226814;FF de tennis;138;79;56;4;30;17;12;1;4;3931;1947;518;1105;325;1087;2184;661
