code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
77145;77390;CRISENOY;48.5961401,2.7431226;FF de tennis de table;7;3;4;;;;;;0;628;313;87;184;42;189;360;79
77145;77390;CRISENOY;48.5961401,2.7431226;FF de ski nautique;1;;1;;;;;;0;628;313;87;184;42;189;360;79
77145;77390;CRISENOY;48.5961401,2.7431226;FF du sport universitaire;2;;2;;1;;1;;0;628;313;87;184;42;189;360;79
77222;77390;GUIGNES;48.6354878,2.7954418;FF de gymnastique;4;3;1;;1;;1;;0;3365;1687;479;980;228;986;1951;429
77222;77390;GUIGNES;48.6354878,2.7954418;FF de tir;2;;1;1;;;;;0;3365;1687;479;980;228;986;1951;429
77222;77390;GUIGNES;48.6354878,2.7954418;FF de tir à l'arc;5;3;1;1;;;;;0;3365;1687;479;980;228;986;1951;429
77222;77390;GUIGNES;48.6354878,2.7954418;FF de golf;13;2;8;3;3;;2;1;0;3365;1687;479;980;228;986;1951;429
77222;77390;GUIGNES;48.6354878,2.7954418;Fédération sportive des ASPTT;5;1;4;;2;1;1;;0;3365;1687;479;980;228;986;1951;429
77352;77390;OZOUER LE VOULGIS;48.6595392,2.7745196;FF de gymnastique;3;3;;;3;3;;;0;1809;921;283;501;137;566;1000;243
77352;77390;OZOUER LE VOULGIS;48.6595392,2.7745196;FF de danse;1;;1;;1;;1;;0;1809;921;283;501;137;566;1000;243
77493;77390;VERNEUIL L ETANG;48.645057,2.835813;FF de badminton;11;2;9;;4;1;3;;0;3167;1628;491;925;212;964;1804;399
77493;77390;VERNEUIL L ETANG;48.645057,2.835813;FF de volley-ball;2;;2;;;;;;0;3167;1628;491;925;212;964;1804;399
77534;77390;YEBLES;48.6386531,2.7778232;FF du sport automobile;1;;1;;;;;;0;659;330;94;194;42;195;367;97
77062;77400;CARNETIN;48.9006464,2.7046898;FF de badminton;2;1;1;;1;;1;;0;473;238;61;135;43;116;266;91
77062;77400;CARNETIN;48.9006464,2.7046898;FF de roller sports;1;;;1;1;;;1;0;473;238;61;135;43;116;266;91
77155;77400;DAMPMART;48.8852184,2.7355279;FF d'athlétisme;30;24;6;;19;15;4;;0;3158;1585;370;852;364;824;1689;645
77155;77400;DAMPMART;48.8852184,2.7355279;FF de basketball;46;36;10;;9;6;3;;0;3158;1585;370;852;364;824;1689;645
77155;77400;DAMPMART;48.8852184,2.7355279;FF d'escrime;2;2;;;1;1;;;0;3158;1585;370;852;364;824;1689;645
77155;77400;DAMPMART;48.8852184,2.7355279;FF d'aéronautique;4;;2;1;;;;;0;3158;1585;370;852;364;824;1689;645
77155;77400;DAMPMART;48.8852184,2.7355279;FF de boxe française, savate et disciplines associées;34;25;9;;11;8;3;;0;3158;1585;370;852;364;824;1689;645
77155;77400;DAMPMART;48.8852184,2.7355279;FF de la retraite sportive;2;;;2;;;;;0;3158;1585;370;852;364;824;1689;645
77155;77400;DAMPMART;48.8852184,2.7355279;FF du sport universitaire;1;;1;;;;;;0;3158;1585;370;852;364;824;1689;645
77209;77400;GOUVERNES;48.8598385,2.6927897;FF de judo-jujitsu et disciplines associées;17;16;1;;5;5;;;0;1113;555;124;327;104;252;649;212
77209;77400;GOUVERNES;48.8598385,2.6927897;FF de taekwondo et disciplines associées;1;;1;;;;;;0;1113;555;124;327;104;252;649;212
77243;77400;LAGNY SUR MARNE;48.8735584,2.7121663;FF de spéléologie;4;3;1;;1;;1;;0;20236;10680;2533;6082;2066;5075;11597;3564
77243;77400;LAGNY SUR MARNE;48.8735584,2.7121663;FF de sports de contact et disciplines associées;18;3;15;;2;1;1;;0;20236;10680;2533;6082;2066;5075;11597;3564
77243;77400;LAGNY SUR MARNE;48.8735584,2.7121663;Union nationale du sport scolaire (UNSS);1306;1302;4;;560;558;2;;0;20236;10680;2533;6082;2066;5075;11597;3564
77372;77400;POMPONNE;48.8816121,2.6913606;FF d'escrime;5;4;1;;;;;;0;3364;1667;407;983;277;804;1994;566
77372;77400;POMPONNE;48.8816121,2.6913606;FF de tennis;57;31;17;8;8;5;2;1;0;3364;1667;407;983;277;804;1994;566
77372;77400;POMPONNE;48.8816121,2.6913606;FF de roller sports;3;3;;;1;1;;;0;3364;1667;407;983;277;804;1994;566
77438;77400;ST THIBAULT DES VIGNES;48.8683837,2.6877273;FF de ski;3;;3;;1;;1;;0;6300;3277;922;1956;399;1801;3781;718
77438;77400;ST THIBAULT DES VIGNES;48.8683837,2.6877273;FF de tir;4;;3;1;;;;;0;6300;3277;922;1956;399;1801;3781;718
77438;77400;ST THIBAULT DES VIGNES;48.8683837,2.6877273;FF de golf;67;10;39;18;19;5;9;5;0;6300;3277;922;1956;399;1801;3781;718
77438;77400;ST THIBAULT DES VIGNES;48.8683837,2.6877273;FF des sports de billard;1;;1;;;;;;0;6300;3277;922;1956;399;1801;3781;718
77464;77400;THORIGNY SUR MARNE;48.8857254,2.7128646;FF de natation;33;27;6;;17;14;3;;0;9220;4687;1179;2663;845;2431;5208;1581
77464;77400;THORIGNY SUR MARNE;48.8857254,2.7128646;FF d'aéromodélisme;6;;3;3;;;;;0;9220;4687;1179;2663;845;2431;5208;1581
77464;77400;THORIGNY SUR MARNE;48.8857254,2.7128646;FF de ski nautique;1;;1;;;;;;0;9220;4687;1179;2663;845;2431;5208;1581
77005;77410;ANNET SUR MARNE;48.9263555,2.7189327;FF de football;97;58;38;1;1;;1;;0;3239;1636;457;938;241;933;1866;440
77005;77410;ANNET SUR MARNE;48.9263555,2.7189327;FF d'altérophilie, musculation, force athlétique et culturisme;3;;3;;;;;;0;3239;1636;457;938;241;933;1866;440
77005;77410;ANNET SUR MARNE;48.9263555,2.7189327;FF du sport automobile;5;1;4;;1;;1;;0;3239;1636;457;938;241;933;1866;440
77005;77410;ANNET SUR MARNE;48.9263555,2.7189327;FF de ski nautique;4;2;2;;2;1;1;;0;3239;1636;457;938;241;933;1866;440
77094;77410;CHARMENTRAY;48.9457165,2.7772501;FF de tennis;4;2;2;;;;;;0;261;119;29;74;16;65;160;37
77095;77410;CHARNY;48.9716476,2.7608632;FF de golf;4;1;3;;;;;;0;1220;614;162;371;81;341;717;162
77118;77410;CLAYE SOUILLY;48.9460871,2.6883703;FF d'altérophilie, musculation, force athlétique et culturisme;11;;9;2;2;;2;;0;11026;5650;1226;3326;1098;2659;6443;1925
77118;77410;CLAYE SOUILLY;48.9460871,2.6883703;FF de taekwondo et disciplines associées;1;1;;;;;;;0;11026;5650;1226;3326;1098;2659;6443;1925
77118;77410;CLAYE SOUILLY;48.9460871,2.6883703;FF de tennis;328;155;140;32;94;42;45;6;0;11026;5650;1226;3326;1098;2659;6443;1925
77118;77410;CLAYE SOUILLY;48.9460871,2.6883703;FF de tir à l'arc;37;9;19;9;7;4;3;;0;11026;5650;1226;3326;1098;2659;6443;1925
77118;77410;CLAYE SOUILLY;48.9460871,2.6883703;FF de rugby;23;7;16;;1;;1;;0;11026;5650;1226;3326;1098;2659;6443;1925
77118;77410;CLAYE SOUILLY;48.9460871,2.6883703;FF de la montagne et de l'escalade;3;1;2;;;;;;0;11026;5650;1226;3326;1098;2659;6443;1925
77118;77410;CLAYE SOUILLY;48.9460871,2.6883703;FF du sport adapté;62;19;43;;13;4;9;;0;11026;5650;1226;3326;1098;2659;6443;1925
77196;77410;FRESNES SUR MARNE;48.9379907,2.7398914;FF de triathlon;3;;3;;;;;;0;654;322;92;192;38;192;396;67
77214;77410;GRESSY;48.9640864,2.6723722;FF d'athlétisme;1;;1;;;;;;0;912;455;122;256;77;236;512;164
77292;77410;MESSY;48.9666746,2.6999883;FF de judo-jujitsu et disciplines associées;17;12;5;;8;7;1;;0;1089;541;152;321;68;312;647;130
77376;77410;PRECY SUR MARNE;48.9308622,2.7746364;FF de gymnastique;1;1;;;1;1;;;0;767;382;120;229;33;262;449;56
77376;77410;PRECY SUR MARNE;48.9308622,2.7746364;FF de karaté et disciplines associées;9;6;3;;;;;;0;767;382;120;229;33;262;449;56
77376;77410;PRECY SUR MARNE;48.9308622,2.7746364;FF de sports de contact et disciplines associées;1;1;;;;;;;0;767;382;120;229;33;262;449;56
77427;77410;ST MESMES;48.9845027,2.6963878;FF de badminton;2;1;1;;;;;;0;561;268;84;168;16;186;340;34
77427;77410;ST MESMES;48.9845027,2.6963878;FF de golf;4;;4;;;;;;0;561;268;84;168;16;186;340;34
77427;77410;ST MESMES;48.9845027,2.6963878;FF d'aéronautique;1;1;;;;;;;0;561;268;84;168;16;186;340;34
77515;77410;VILLEROY;48.9842338,2.7798097;FF de tennis;15;9;4;2;7;5;1;1;0;694;345;111;192;42;223;389;81
77515;77410;VILLEROY;48.9842338,2.7798097;FF de tennis de table;1;;1;;;;;;0;694;345;111;192;42;223;389;81
77517;77410;VILLEVAUDE;48.9109799,2.6676652;FF d'athlétisme;4;4;;;1;1;;;0;1731;872;237;465;170;496;954;281
77517;77410;VILLEVAUDE;48.9109799,2.6676652;FF des sociétés d'aviron;1;1;;;;;;;0;1731;872;237;465;170;496;954;281
