code_insee;code_postal;commune;wgs84;federation;licences_en_2011;moins_de_20_ans;entre_20_et_60_ans;plus_de_60_ans;femmes;femmes_moins_de_20_ans;femmes_de_20_a_60_ans;femmes_plus_de_60_ans;licences_en_zone_urbaine_sensible_zus;population_totale_2010;population_femme;population_femmes_de_moins_de_20_ans;population_femme_de_20_a_60_ans;population_femme_de_plus_de_60_ans;population_de_moins_de_20_ans;population_de_20_a_60_ans;population_de_plus_de_60_ans
91630;91530;LE VAL ST GERMAIN;48.5655488,2.0598176;FF de rugby;11;7;4;;;;;;0;1460;720;185;392;144;383;797;280
91630;91530;LE VAL ST GERMAIN;48.5655488,2.0598176;FF de danse;4;2;2;;3;2;1;;0;1460;720;185;392;144;383;797;280
91204;91540;ECHARCON;48.5723372,2.4113865;FF de volley-ball;3;2;2;;2;2;;;0;793;398;107;240;51;215;469;109
91244;91540;FONTENAY LE VICOMTE;48.5478012,2.399759;FF de karaté et disciplines associées;6;2;4;;;;;;0;1273;621;192;352;77;407;722;144
91244;91540;FONTENAY LE VICOMTE;48.5478012,2.399759;FF pour l'entrainement physique dans le monde moderne - Sports pour tous (FFEPMM);6;;5;1;6;;5;1;0;1273;621;192;352;77;407;722;144
91386;91540;MENNECY;48.5590533,2.4383908;FF de badminton;30;7;23;;10;3;7;;0;13395;6901;1865;3717;1319;3756;7241;2399
91386;91540;MENNECY;48.5590533,2.4383908;FF de handball;138;92;45;;31;21;10;;0;13395;6901;1865;3717;1319;3756;7241;2399
91386;91540;MENNECY;48.5590533,2.4383908;FF de boxe française, savate et disciplines associées;6;2;4;;3;1;2;;0;13395;6901;1865;3717;1319;3756;7241;2399
91386;91540;MENNECY;48.5590533,2.4383908;FF de karaté et disciplines associées;41;29;11;1;10;6;4;;0;13395;6901;1865;3717;1319;3756;7241;2399
91386;91540;MENNECY;48.5590533,2.4383908;FF de vol à voile;6;;3;3;;;;;0;13395;6901;1865;3717;1319;3756;7241;2399
91386;91540;MENNECY;48.5590533,2.4383908;FF des clubs alpins et de montagne;12;;4;8;3;;;3;0;13395;6901;1865;3717;1319;3756;7241;2399
91468;91540;ORMOY;48.4040049,2.1498657;FF de sports de contact et disciplines associées;2;2;;;;;;;0;1858;922;290;514;117;590;1045;222
91479;91550;PARAY VIEILLE POSTE;48.7126093,2.3637838;FF de boxe;3;2;1;;;;;;0;7111;3754;841;1984;929;1621;3845;1645
91479;91550;PARAY VIEILLE POSTE;48.7126093,2.3637838;FF d'escrime;1;;1;;1;;1;;0;7111;3754;841;1984;929;1621;3845;1645
91479;91550;PARAY VIEILLE POSTE;48.7126093,2.3637838;FF de triathlon;2;;2;;;;;;0;7111;3754;841;1984;929;1621;3845;1645
91479;91550;PARAY VIEILLE POSTE;48.7126093,2.3637838;FF de volley-ball;70;56;15;;48;41;7;;0;7111;3754;841;1984;929;1621;3845;1645
91479;91550;PARAY VIEILLE POSTE;48.7126093,2.3637838;FF du sport automobile;5;;5;;1;;1;;0;7111;3754;841;1984;929;1621;3845;1645
91191;91560;CROSNE;48.72046,2.4645591;FF de basketball;31;16;13;2;8;3;5;;0;9143;4815;1268;2654;892;2517;5066;1558
91191;91560;CROSNE;48.72046,2.4645591;FF de boxe française, savate et disciplines associées;3;;3;;;;;;0;9143;4815;1268;2654;892;2517;5066;1558
